class_name,standard,section,subject,teacher,lectures,type,allowed_rooms,daily_max
Class-01,Year-1,A,Mathematics,Faculty-001,4,THEORY,,2
Class-01,Year-1,A,Programming Fundamentals,Faculty-002,4,THEORY,,2
Class-01,Year-1,A,Data Structures,Faculty-003,4,THEORY,,2
Class-01,Year-1,A,Database Systems,Faculty-004,4,THEORY,,2
Class-01,Year-1,A,Communication Skills,Faculty-005,4,THEORY,,2
Class-01,Year-1,A,Operating Systems,Faculty-006,4,THEORY,,2
Class-01,Year-1,A,Programming Lab,Faculty-007,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-01,Year-1,A,Database Lab,Faculty-008,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-01,Year-1,A,Networks Lab,Faculty-009,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-01,Year-1,B,Mathematics,Faculty-010,4,THEORY,,2
Class-01,Year-1,B,Programming Fundamentals,Faculty-011,4,THEORY,,2
Class-01,Year-1,B,Data Structures,Faculty-012,4,THEORY,,2
Class-01,Year-1,B,Database Systems,Faculty-013,4,THEORY,,2
Class-01,Year-1,B,Communication Skills,Faculty-014,4,THEORY,,2
Class-01,Year-1,B,Operating Systems,Faculty-015,4,THEORY,,2
Class-01,Year-1,B,Programming Lab,Faculty-016,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-01,Year-1,B,Database Lab,Faculty-017,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-01,Year-1,B,Networks Lab,Faculty-018,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-01,Year-1,C,Mathematics,Faculty-019,4,THEORY,,2
Class-01,Year-1,C,Programming Fundamentals,Faculty-020,4,THEORY,,2
Class-01,Year-1,C,Data Structures,Faculty-021,4,THEORY,,2
Class-01,Year-1,C,Database Systems,Faculty-022,4,THEORY,,2
Class-01,Year-1,C,Communication Skills,Faculty-023,4,THEORY,,2
